iter	Logloss
0	0.6850883949
1	0.6773696955
2	0.6694405902
3	0.6630661241
4	0.6568121412
5	0.6503688936
6	0.6445479973
7	0.6386678623
8	0.6334553062
9	0.6281846142
10	0.6228582485
11	0.617959199
12	0.6128562365
13	0.6083888411
14	0.6041439998
15	0.6008397307
16	0.5967011073
17	0.5936701654
18	0.5902056173
19	0.5867119609
20	0.5836296662
21	0.5815264464
22	0.578695962
23	0.5761678215
24	0.5737151991
25	0.5712039383
26	0.5681949042
27	0.5660147041
28	0.5639640077
29	0.561409663
30	0.5590458476
31	0.5573626679
32	0.5552317003
33	0.5532534005
34	0.5513758765
35	0.5497483795
36	0.5478690784
37	0.5462971794
38	0.5447398561
39	0.5431418971
40	0.5417958939
41	0.5403996053
42	0.5391497892
43	0.5379322934
44	0.5366074558
45	0.5351326829
46	0.533696808
47	0.5326346658
48	0.5313315648
49	0.5304157402
50	0.529539963
51	0.5285859319
52	0.5274192856
53	0.5264613646
54	0.5256044688
55	0.5247633666
56	0.5239686236
57	0.5233274996
58	0.5224011553
59	0.5215518548
60	0.5205195578
61	0.5199978698
62	0.5193351402
63	0.5187581445
64	0.5179052347
65	0.5172153833
66	0.5168002682
67	0.5161642492
68	0.5156025374
69	0.515011137
70	0.5143118183
71	0.5136665352
72	0.5129787952
73	0.5125528917
74	0.5120875401
75	0.5116246887
76	0.5111969375
77	0.5107206595
78	0.5099579938
79	0.5095734394
80	0.5092169638
81	0.5085950002
82	0.5082602105
83	0.5077463734
84	0.5072988672
85	0.5069917611
86	0.506436114
87	0.5060716709
88	0.5057310846
89	0.5053209984
90	0.5050158844
91	0.504524572
92	0.5039246553
93	0.5034325552
94	0.5029739067
95	0.5026766978
96	0.5021580754
97	0.5017959551
98	0.5013401066
99	0.5008785433
100	0.5004079533
101	0.5000211807
102	0.4996305674
103	0.4990558863
104	0.4987127406
105	0.4979828781
106	0.4977180228
107	0.4973766558
108	0.4971683225
109	0.4968000562
110	0.4965554739
111	0.4963167608
112	0.4960266779
113	0.4954978952
114	0.4951232049
115	0.4947072505
116	0.4944059961
117	0.4941097839
118	0.4938831852
119	0.4935720532
120	0.4933408699
121	0.4931270279
122	0.4929365768
123	0.492596625
124	0.492330139
125	0.4920504455
126	0.4918282624
127	0.4915762464
128	0.4912309334
129	0.4909277413
130	0.4907273673
131	0.4904313623
132	0.4902318136
133	0.4899854712
134	0.4897009951
135	0.4895306683
136	0.4892710596
137	0.4890310272
138	0.4887912967
139	0.4885974703
140	0.4884123097
141	0.4881631592
142	0.4878843243
143	0.4876428277
144	0.4873507571
145	0.4870959089
146	0.4868224039
147	0.4863736155
148	0.4862473377
149	0.4859751746
150	0.4857730823
151	0.4855808779
152	0.4854420757
153	0.4852866976
154	0.4850550601
155	0.484852626
156	0.4846148263
157	0.48440504
158	0.4841153028
159	0.4838279241
160	0.4836102425
161	0.4833803563
162	0.4832098119
163	0.4830524791
164	0.4827152313
165	0.4822441945
166	0.4819435667
167	0.4817306251
168	0.4814841591
169	0.4813120435
170	0.481107832
171	0.4808765408
172	0.4807443401
173	0.4806129667
174	0.4803456943
175	0.4801754906
176	0.4799656398
177	0.479851508
178	0.4796151264
179	0.479499616
180	0.4792577961
181	0.4790178384
182	0.4788386965
183	0.4785219121
184	0.4783185539
185	0.4781287321
186	0.4778862224
187	0.4775389577
188	0.4772984714
189	0.4770883783
190	0.4769439168
191	0.4767157496
192	0.4762915472
193	0.4760594258
194	0.4759733836
195	0.4758239898
196	0.4756006813
197	0.4753758249
198	0.4751311967
199	0.4749159451
200	0.474664774
201	0.4744496116
202	0.4743108753
203	0.4740369746
204	0.4738842133
205	0.4736094983
206	0.4733865458
207	0.4731926685
208	0.473033265
209	0.4727587035
210	0.4724570349
211	0.4722541577
212	0.472091345
213	0.4718529634
214	0.4716344923
215	0.4713927715
216	0.4712322779
217	0.471104463
218	0.4708810182
219	0.4706900501
220	0.4704843134
221	0.4701956904
222	0.4700167108
223	0.4697866241
224	0.4696093735
225	0.4694155493
226	0.4692310441
227	0.4691068924
228	0.4688739036
229	0.4686621151
230	0.46847905
231	0.4683657548
232	0.4682141912
233	0.4679585066
234	0.4678356986
235	0.467727377
236	0.4675953032
237	0.4673218297
238	0.4671658066
239	0.4670023068
240	0.4668905541
241	0.4667308833
242	0.4664836097
243	0.4662680697
244	0.4660982395
245	0.4659348187
246	0.4658215874
247	0.465704578
248	0.4655911079
249	0.4653597198
250	0.4652637988
251	0.46507333
252	0.4648977968
253	0.4647572261
254	0.4646104316
255	0.4644926367
256	0.4643117739
257	0.4641680722
258	0.463960945
259	0.4637771325
260	0.4636242133
261	0.4635409712
262	0.4633787375
263	0.4632765789
264	0.4631386725
265	0.4629805926
266	0.4628641516
267	0.4626723125
268	0.46249343
269	0.4623879959
270	0.462252422
271	0.4620857018
272	0.4619682516
273	0.4618074599
274	0.4617060531
275	0.4615157046
276	0.4613113454
277	0.4611029625
278	0.4610085596
279	0.4608770682
280	0.4607763215
281	0.4606569177
282	0.460424135
283	0.4602191773
284	0.4600595464
285	0.45986305
286	0.4596758972
287	0.4595225197
288	0.4594032557
289	0.4592262909
290	0.4590901922
291	0.458991807
292	0.4588706145
293	0.4586931723
294	0.4585529212
295	0.4584088569
296	0.4582284865
297	0.4579847471
298	0.4579189208
299	0.4577521432
300	0.4575521963
301	0.4574334345
302	0.4572274106
303	0.4570091283
304	0.4568256644
305	0.4565929943
306	0.4565210178
307	0.4563176039
308	0.456165348
309	0.4559812612
310	0.455752696
311	0.4555460346
312	0.4553835176
313	0.4550853095
314	0.4548923463
315	0.4547654869
316	0.4546841746
317	0.4545078456
318	0.4543216861
319	0.454173983
320	0.4540100529
321	0.4538212849
322	0.453637515
323	0.4534502871
324	0.4533215846
325	0.4531328478
326	0.4529814474
327	0.4528106229
328	0.4526600875
329	0.4524666203
330	0.4523455422
331	0.4522722801
332	0.4519589501
333	0.4517195604
334	0.4513700853
335	0.4512732824
336	0.4511634427
337	0.4508695222
338	0.4506294256
339	0.4504751583
340	0.4503413343
341	0.450221691
342	0.4501184521
343	0.4499625801
344	0.4497757037
345	0.4496705815
346	0.4494616892
347	0.4492894213
348	0.4491789447
349	0.4489621674
350	0.4488405917
351	0.448747663
352	0.4485416348
353	0.4483398503
354	0.4481946843
355	0.4480618066
356	0.4479808849
357	0.4478636363
358	0.4477362976
359	0.4475731217
360	0.4474609662
361	0.4473425282
362	0.4472164911
363	0.4470799243
364	0.4469467298
365	0.446797249
366	0.4466502855
367	0.4464906007
368	0.4463861555
369	0.4462093452
370	0.4460942158
371	0.445854348
372	0.445594097
373	0.44542271
374	0.4452381545
375	0.4450225415
376	0.4448436148
377	0.4447349299
378	0.4446015195
379	0.4443906472
380	0.444276114
381	0.4441290919
382	0.4439546287
383	0.443808997
384	0.4435805575
385	0.4433844919
386	0.443208047
387	0.443028566
388	0.442839893
389	0.442615532
390	0.4424460508
391	0.4423151639
392	0.4421420421
393	0.4419448802
394	0.4418496779
395	0.4416886245
396	0.4415961086
397	0.4414015029
398	0.441253115
399	0.4411289571
400	0.4409854421
401	0.4409070116
402	0.4406880849
403	0.440549184
404	0.4404674089
405	0.4402883856
406	0.4401576555
407	0.4400037933
408	0.4398299487
409	0.4396473255
410	0.4394275256
411	0.43922647
412	0.4389700654
413	0.4388684132
414	0.4387460177
415	0.4386072408
416	0.4384194622
417	0.4382969964
418	0.4381047449
419	0.4379219286
420	0.4377098838
421	0.4375697168
422	0.4373938341
423	0.4371674967
424	0.4369681474
425	0.4367905889
426	0.4365342547
427	0.4363666658
428	0.4361958814
429	0.4360232134
430	0.4358996564
431	0.4357059079
432	0.435465948
433	0.4353037542
434	0.4351950882
435	0.4349835153
436	0.4348897246
437	0.4347599088
438	0.4345843579
439	0.4344238918
440	0.4342850927
441	0.4341075187
442	0.4339036068
443	0.4337127244
444	0.4335844909
445	0.4333871624
446	0.4332438452
447	0.4330499057
448	0.4328945934
449	0.4327302277
450	0.4325557706
451	0.4324163974
452	0.432243776
453	0.4320769386
454	0.4319382956
455	0.4317754979
456	0.4316066185
457	0.4314263089
458	0.4312693691
459	0.4311047584
460	0.4309621252
461	0.430796712
462	0.4306054406
463	0.4304702579
464	0.4303065241
465	0.4300867885
466	0.4298435513
467	0.4296138024
468	0.4294406939
469	0.4292761349
470	0.4291242028
471	0.4288545126
472	0.4286448886
473	0.4284336382
474	0.4282938763
475	0.4280570051
476	0.4279243537
477	0.427727544
478	0.4275130795
479	0.4274031232
480	0.4272629917
481	0.4270542541
482	0.4268782095
483	0.4267070514
484	0.426513796
485	0.4263603349
486	0.4261899956
487	0.4259935262
488	0.4257851372
489	0.4255520253
490	0.4253587638
491	0.4252172402
492	0.4251191239
493	0.4249412688
494	0.4247117325
495	0.4245574243
496	0.4244124687
497	0.4242667508
498	0.4240721019
499	0.4239574856
500	0.4237591338
501	0.4235308753
502	0.4233835514
503	0.4232062955
504	0.4229536071
505	0.422832903
506	0.422575119
507	0.4224448587
508	0.4222523416
509	0.4221308863
510	0.4219968322
511	0.4218650418
512	0.4216952258
513	0.4214592637
514	0.4213169239
515	0.421170095
516	0.4209546144
517	0.4207868366
518	0.4206108321
519	0.4204224744
520	0.4200850006
521	0.4199475821
522	0.4197448437
523	0.419608697
524	0.4194789155
525	0.4192605535
526	0.4190634151
527	0.4189535328
528	0.4187672443
529	0.4185379276
530	0.4184485132
531	0.4182225035
532	0.4181329317
533	0.4180160905
534	0.4177665765
535	0.4176240867
536	0.4174741547
537	0.4172714611
538	0.4170920806
539	0.4168610054
540	0.4166988419
541	0.4165369412
542	0.4163635297
543	0.4161969666
544	0.4160375357
545	0.4158416492
546	0.415724053
547	0.4156271704
548	0.4155097845
549	0.4154008144
550	0.415223361
551	0.4150934569
552	0.4149281295
553	0.4147135414
554	0.4144695716
555	0.4142247848
